Date of Census,Total Individuals in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter
04/22/2016,57711,13064,12253,2280
04/21/2016,57845,13147,12266,2270
04/20/2016,57860,13150,12264,2271
04/19/2016,57867,13178,12254,2272
04/18/2016,57921,13180,12261,2280
04/17/2016,57816,13120,12246,2280
04/16/2016,57744,13038,12251,2277
04/15/2016,57803,13103,12243,2282
04/14/2016,57937,13194,12248,2286
04/13/2016,57952,13168,12263,2288
04/12/2016,57996,13213,12261,2293
04/11/2016,57994,13192,12249,2291
04/10/2016,57785,13167,12192,2290
04/09/2016,57706,13102,12196,2275
04/08/2016,57805,13111,12209,2278
04/07/2016,57977,13182,12233,2277
04/06/2016,57900,13176,12209,2270
04/05/2016,57850,13209,12182,2267
04/04/2016,57918,13210,12189,2265
04/03/2016,57767,13093,12192,2259
04/02/2016,57527,12985,12151,2258
04/01/2016,57493,12965,12155,2255
03/31/2016,57761,13142,12171,2255
03/30/2016,57823,13251,12153,2260
03/29/2016,57806,13270,12144,2250
03/28/2016,57830,13250,12160,2246
03/27/2016,57737,13163,12162,2251
03/26/2016,57707,13146,12156,2248
03/25/2016,57673,13104,12163,2249
03/24/2016,57846,13174,12185,2247
03/23/2016,57867,13232,12153,2259
03/22/2016,57805,13250,12124,2248
03/21/2016,57977,13237,12187,2249
03/20/2016,57872,13202,12174,2252
03/19/2016,57712,13088,12161,2245
03/18/2016,57745,13104,12160,2254
03/17/2016,57821,13127,12184,2251
03/16/2016,57850,13167,12172,2252
03/15/2016,57811,13199,12144,2252
03/14/2016,57821,13181,12155,2252
03/13/2016,57705,13116,12136,2255
03/12/2016,57592,13052,12124,2246
03/11/2016,57714,13084,12141,2250
03/10/2016,57915,13116,12195,2250
03/09/2016,57941,13159,12189,2247
03/08/2016,57974,13182,12188,2242
03/07/2016,58034,13192,12195,2247
03/06/2016,57892,13169,12167,2235
03/05/2016,57830,13117,12163,2235
03/04/2016,57995,13129,12202,2237
03/03/2016,58066,13191,12205,2233
03/02/2016,58101,13175,12215,2234
03/01/2016,58039,13148,12206,2228
02/29/2016,58116,13201,12211,2228
02/28/2016,58091,13130,12228,2221
02/27/2016,58016,13090,12208,2229
02/26/2016,58153,13165,12216,2226
02/25/2016,58247,13209,12229,2233
02/24/2016,58231,13192,12220,2231
02/23/2016,58245,13216,12202,2238
02/22/2016,58288,13179,12234,2236
02/21/2016,58143,13123,12204,2229
02/20/2016,58043,13032,12195,2235
02/19/2016,58227,13083,12230,2244
02/18/2016,58277,13159,12226,2238
02/17/2016,58318,13166,12225,2251
02/16/2016,58351,13139,12238,2261
02/15/2016,58336,13130,12239,2263
02/14/2016,58217,13070,12229,2253
02/13/2016,58104,13029,12206,2251
02/12/2016,58091,13050,12206,2247
02/11/2016,58276,13120,12233,2249
02/10/2016,58225,13062,12250,2245
02/09/2016,58208,13053,12244,2243
02/08/2016,58183,13032,12245,2242
02/07/2016,58118,12900,12257,2242
02/06/2016,58014,12858,12240,2242
02/05/2016,58081,12876,12256,2231
02/04/2016,58191,12902,12283,2230
02/03/2016,58231,12933,12278,2229
02/02/2016,58143,12932,12244,2224
02/01/2016,58128,12914,12248,2229
01/31/2016,58184,12993,12243,2225
01/30/2016,58133,12963,12237,2220
01/29/2016,58191,12977,12240,2227
01/28/2016,58209,13022,12224,2235
01/27/2016,58203,13010,12235,2233
01/26/2016,58301,13050,12256,2226
01/25/2016,58395,13018,12291,2229
01/24/2016,58395,12928,12323,2231
01/23/2016,58169,12839,12279,2230
01/22/2016,58283,13004,12274,2223
01/21/2016,57983,13062,12208,2231
01/20/2016,58305,13035,12258,2242
01/19/2016,58439,13028,12296,2234
01/18/2016,58370,13002,12277,2234
01/17/2016,58260,12952,12257,2231
01/16/2016,58064,12887,12230,2225
01/15/2016,58155,12915,12244,2233
01/14/2016,58355,13013,12274,2222
01/13/2016,58290,13023,12247,2214
01/12/2016,58242,12985,12244,2209
01/11/2016,58158,12960,12217,2208
01/10/2016,58077,12932,12211,2203
01/09/2016,57920,12857,12185,2196
01/08/2016,58013,12871,12198,2201
01/07/2016,58137,12959,12186,2205
01/06/2016,58086,12957,12174,2204
01/05/2016,58008,12975,12138,2200
01/04/2016,57929,12968,12118,2200
01/03/2016,57788,12804,12128,2200
01/02/2016,57678,12642,12144,2200
01/01/2016,57629,12592,12146,2199
12/31/2015,57338,12285,12152,2197
12/30/2015,57914,12824,12154,2195
12/29/2015,57838,12887,12113,2189
12/28/2015,57896,12905,12127,2197
12/27/2015,57730,12777,12121,2183
12/26/2015,57699,12673,12145,2182
12/25/2015,57711,12635,12158,2185
12/24/2015,57689,12613,12157,2180
12/23/2015,57902,12845,12150,2175
12/22/2015,57985,12869,12162,2184
12/21/2015,58009,12900,12158,2192
12/20/2015,57953,12871,12152,2191
12/19/2015,57854,12776,12160,2186
12/18/2015,57881,12790,12151,2199
12/17/2015,58036,12849,12185,2192
12/16/2015,58026,12881,12166,2203
12/15/2015,57965,12868,12148,2198
12/14/2015,57998,12844,12166,2198
12/13/2015,57971,12837,12166,2195
12/12/2015,57830,12740,12148,2188
12/11/2015,57852,12769,12151,2192
12/10/2015,58070,12891,12169,2195
12/09/2015,57984,12859,12153,2195
12/08/2015,57978,12884,12149,2185
12/07/2015,57967,12858,12151,2182
12/06/2015,57836,12780,12125,2185
12/05/2015,57716,12708,12112,2180
12/04/2015,57637,12581,12121,2189
12/03/2015,57769,12724,12122,2179
12/02/2015,57753,12736,12098,2177
12/01/2015,57733,12753,12070,2187
11/30/2015,57967,12843,12113,2192
11/29/2015,57855,12772,12118,2181
11/28/2015,57907,12701,12148,2184
11/27/2015,57993,12657,12194,2181
11/26/2015,57956,12626,12191,2181
11/25/2015,57962,12718,12167,2174
11/24/2015,57954,12791,12131,2178
11/23/2015,58037,12801,12144,2185
11/22/2015,57895,12752,12120,2175
11/21/2015,57742,12653,12105,2172
11/20/2015,57926,12727,12139,2181
11/19/2015,57905,12799,12112,2170
11/18/2015,57930,12763,12120,2177
11/17/2015,57903,12742,12099,2187
11/16/2015,57856,12734,12094,2195
11/15/2015,57700,12674,12069,2181
11/14/2015,57676,12628,12080,2177
11/13/2015,57801,12686,12103,2179
11/12/2015,57774,12709,12089,2182
11/11/2015,57805,12730,12090,2174
11/10/2015,57722,12728,12069,2170
11/09/2015,57756,12692,12081,2174
11/08/2015,57543,12653,12034,2155
11/07/2015,57447,12550,12030,2153
11/06/2015,57419,12511,12026,2166
11/05/2015,57478,12623,12007,2165
11/04/2015,57484,12605,11990,2176
11/03/2015,57451,12563,11985,2171
11/01/2015,57407,12534,11989,2166
10/31/2015,57414,12451,12021,2176
10/30/2015,57456,12520,12005,2174
10/29/2015,57618,12646,12008,2170
10/28/2015,57575,12684,11989,2168
10/27/2015,57410,12611,11963,2171
10/26/2015,57460,12626,11976,2173
10/25/2015,57369,12601,11968,2169
10/24/2015,57428,12543,11999,2167
10/23/2015,57397,12527,11984,2163
10/22/2015,57448,12582,11978,2168
10/21/2015,57410,12528,11979,2175
10/20/2015,57423,12516,11990,2175
10/19/2015,57546,12559,12018,2178
10/18/2015,57386,12547,11987,2160
10/17/2015,57320,12469,11988,2165
10/16/2015,57314,12445,11988,2168
10/15/2015,57300,12498,11969,2163
10/14/2015,57353,12456,11982,2166
10/13/2015,57460,12480,11998,2171
10/12/2015,57364,12459,11964,2176
10/11/2015,57170,12384,11940,2162
10/10/2015,57124,12310,11951,2158
10/09/2015,57255,12335,11982,2161
10/08/2015,57182,12435,11929,2157
10/07/2015,57259,12420,11950,2154
10/06/2015,57239,12428,11933,2159
10/05/2015,57276,12405,11950,2164
10/04/2015,57202,12384,11943,2164
10/03/2015,57105,12331,11925,2158
10/02/2015,57218,12297,11966,2167
10/01/2015,57237,12316,11966,2167
09/30/2015,57366,12389,11975,2161
09/29/2015,57285,12360,11964,2158
09/28/2015,57364,12382,11971,2159
09/27/2015,57272,12331,11963,2154
09/26/2015,57121,12233,11938,2151
09/25/2015,57241,12262,11967,2162
09/24/2015,57223,12385,11936,2158
09/23/2015,57206,12398,11912,2158
09/22/2015,57209,12396,11911,2148
09/21/2015,57059,12327,11883,2144
09/20/2015,57070,12311,11893,2140
09/19/2015,57059,12229,11919,2141
09/18/2015,57162,12245,11935,2145
09/17/2015,57209,12297,11939,2135
09/16/2015,57264,12296,11953,2135
09/15/2015,57206,12300,11937,2137
09/14/2015,57224,12273,11958,2132
09/13/2015,57140,12264,11951,2122
09/12/2015,56928,12183,11914,2119
09/11/2015,57102,12165,11951,2134
09/10/2015,57047,12249,11912,2140
09/09/2015,56949,12225,11886,2141
09/08/2015,56970,12179,11907,2135
09/07/2015,56963,12160,11914,2132
09/06/2015,56725,12065,11876,2129
09/05/2015,56706,12046,11860,2133
09/04/2015,56730,12067,11856,2131
09/03/2015,56763,12125,11838,2126
09/02/2015,56720,12132,11827,2123
09/01/2015,56635,12143,11782,2130
08/31/2015,56731,12210,11785,2134
08/30/2015,56715,12153,11809,2134
08/29/2015,56583,12088,11788,2131
08/28/2015,56542,12077,11775,2133
08/27/2015,56744,12159,11807,2133
08/26/2015,56647,12109,11790,2131
08/25/2015,56713,12145,11799,2126
08/24/2015,56741,12159,11802,2131
08/23/2015,56690,12118,11809,2127
08/22/2015,56572,12011,11796,2127
08/21/2015,56629,12074,11794,2127
08/20/2015,56673,12134,11792,2130
08/19/2015,56628,12150,11772,2136
08/18/2015,56444,12153,11713,2127
08/17/2015,56564,12134,11754,2132
08/16/2015,56593,12111,11774,2132
08/15/2015,56493,12023,11772,2129
08/14/2015,56597,12078,11776,2135
08/13/2015,56544,12145,11741,2137
08/12/2015,56485,12145,11735,2130
08/11/2015,56407,12125,11732,2126
08/10/2015,56421,12116,11746,2128
08/09/2015,56226,12071,11713,2114
08/08/2015,56029,11947,11693,2114
08/07/2015,56111,11951,11718,2111
08/06/2015,56173,12066,11694,2110
08/05/2015,56242,12095,11705,2106
08/04/2015,56133,12023,11671,2115
08/03/2015,56284,12038,11688,2125
08/02/2015,56135,11964,11680,2115
08/01/2015,55949,11892,11648,2115
07/31/2015,55965,11954,11633,2114
07/30/2015,56170,12062,11665,2107
07/29/2015,56174,12075,11660,2104
07/28/2015,56043,12044,11640,2093
07/27/2015,56100,12034,11665,2094
07/26/2015,56052,12000,11662,2088
07/25/2015,55926,11946,11648,2089
07/24/2015,55915,11948,11633,2101
07/23/2015,55985,12013,11634,2112
07/22/2015,56069,12054,11639,2111
07/21/2015,56073,12061,11627,2118
07/20/2015,56085,12038,11627,2127
07/19/2015,56071,11949,11654,2131
07/18/2015,55938,11915,11631,2128
07/17/2015,56133,11959,11677,2129
07/16/2015,56227,12026,11689,2129
07/15/2015,56091,12033,11656,2134
07/14/2015,55979,11997,11627,2132
07/13/2015,55997,11995,11639,2137
07/12/2015,55891,11952,11635,2126
07/11/2015,55764,11902,11606,2129
07/10/2015,55837,11939,11610,2129
07/09/2015,55913,11997,11603,2135
07/08/2015,55896,11987,11592,2138
07/07/2015,55821,11960,11581,2129
07/06/2015,55834,11937,11595,2132
07/05/2015,55804,11892,11602,2127
07/04/2015,55704,11758,11607,2131
07/03/2015,55702,11838,11586,2127
07/02/2015,55809,11889,11597,2126
06/30/2015,55889,11990,11574,2127
06/29/2015,55941,11994,11579,2135
06/28/2015,55977,11981,11599,2136
06/27/2015,55932,11968,11587,2129
06/26/2015,55949,11928,11594,2128
06/25/2015,56098,11993,11619,2130
06/24/2015,56158,12023,11635,2127
06/23/2015,56137,12019,11628,2134
06/22/2015,56167,11975,11653,2135
06/21/2015,56143,11925,11662,2126
06/20/2015,56077,11919,11643,2126
06/19/2015,56070,11880,11653,2128
06/18/2015,56162,11960,11656,2123
06/17/2015,56186,11974,11653,2119
06/16/2015,56219,11980,11644,2125
06/15/2015,56322,11970,11669,2137
06/14/2015,56230,11897,11676,2137
06/13/2015,56143,11831,11668,2138
06/12/2015,56262,11824,11701,2144
06/11/2015,56314,11862,11702,2144
06/10/2015,56361,11940,11689,2138
06/09/2015,56362,11886,11693,2133
06/08/2015,56435,11912,11707,2134
06/07/2015,56378,11865,11710,2136
06/06/2015,56355,11811,11706,2145
06/05/2015,56410,11868,11702,2144
06/04/2015,56496,11876,11715,2149
06/03/2015,56506,11930,11694,2149
06/02/2015,56448,11927,11673,2147
06/01/2015,56562,11923,11703,2149
05/31/2015,56440,11845,11698,2152
05/30/2015,56352,11760,11697,2149
05/29/2015,56487,11835,11711,2144
05/28/2015,56527,11931,11689,2141
05/27/2015,56539,11920,11683,2151
05/26/2015,56611,11875,11712,2152
05/25/2015,56622,11835,11727,2155
05/23/2015,56680,11808,11743,2157
05/22/2015,56651,11810,11731,2160
05/21/2015,56840,11926,11755,2149
05/20/2015,56809,11909,11739,2157
05/19/2015,56655,11850,11713,2145
05/18/2015,56729,11899,11725,2148
05/14/2015,56734,11860,11731,2143
05/13/2015,56714,11881,11714,2149
05/12/2015,56583,11829,11680,2147
05/11/2015,56723,11836,11704,2152
05/10/2015,56670,11764,11714,2148
05/09/2015,56631,11746,11715,2145
05/08/2015,56701,11721,11743,2145
05/07/2015,56768,11804,11735,2141
05/06/2015,56755,11843,11705,2151
05/05/2015,56602,11774,11689,2142
05/04/2015,56640,11782,11702,2139
05/03/2015,56670,11761,11729,2126
05/02/2015,56427,11568,11712,2128
05/01/2015,56555,11629,11737,2126
04/30/2015,56810,11855,11733,2127
04/29/2015,56854,11904,11735,2125
04/28/2015,56847,11884,11729,2134
04/27/2015,56876,11907,11730,2131
04/26/2015,56907,11870,11749,2137
04/25/2015,56796,11811,11732,2142
04/24/2015,56824,11850,11728,2146
04/23/2015,56921,11928,11736,2147
04/22/2015,56880,11936,11716,2146
04/21/2015,56972,11905,11737,2146
04/19/2015,56911,11861,11745,2139
04/18/2015,56727,11728,11728,2137
04/17/2015,56911,11804,11745,2146
04/16/2015,57098,11900,11767,2139
04/15/2015,57211,11923,11781,2155
04/14/2015,57234,11933,11789,2149
04/13/2015,57125,11937,11766,2137
04/12/2015,57148,11895,11787,2141
04/11/2015,56954,11813,11758,2141
04/10/2015,57014,11833,11765,2150
04/09/2015,57201,11909,11776,2158
04/08/2015,57125,11926,11738,2167
04/07/2015,57025,11877,11724,2163
04/06/2015,57147,11837,11766,2163
04/05/2015,57181,11821,11777,2170
04/04/2015,57034,11755,11749,2174
04/03/2015,57001,11699,11752,2170
04/02/2015,57047,11731,11756,2170
04/01/2015,57089,11769,11749,2172
03/31/2015,57166,11853,11743,2164
03/30/2015,57333,11893,11762,2171
03/29/2015,57330,11890,11764,2174
03/28/2015,57191,11814,11745,2168
03/27/2015,57303,11844,11762,2167
03/26/2015,57405,11851,11782,2172
03/25/2015,57557,11941,11805,2174
03/24/2015,57536,11915,11801,2170
03/23/2015,57622,11908,11814,2173
03/22/2015,57675,11884,11845,2170
03/21/2015,57528,11779,11829,2172
03/20/2015,57624,11841,11835,2174
03/19/2015,57655,11857,11842,2169
03/18/2015,57720,11908,11850,2162
03/17/2015,57718,11876,11853,2158
03/16/2015,57757,11884,11865,2156
03/12/2015,57775,11809,11874,2160
03/11/2015,57821,11828,11879,2163
03/10/2015,57783,11868,11856,2150
03/09/2015,58027,11826,11923,2171
03/08/2015,57969,11839,11906,2167
03/07/2015,57911,11791,11903,2172
03/06/2015,57866,11815,11881,2169
03/05/2015,57872,11861,11869,2163
03/04/2015,57909,11882,11882,2160
03/03/2015,57819,11860,11856,2159
03/02/2015,57963,11850,11900,2168
03/01/2015,57961,11852,11911,2164
02/28/2015,57839,11793,11892,2156
02/27/2015,57927,11769,11910,2160
02/26/2015,57975,11850,11897,2153
02/25/2015,58083,11904,11900,2167
02/24/2015,58073,11896,11902,2172
02/23/2015,58142,11875,11929,2168
02/22/2015,58156,11835,11953,2166
02/21/2015,58104,11776,11955,2165
02/20/2015,58211,11851,11959,2178
02/19/2015,58269,11862,11960,2181
02/18/2015,58284,11886,11958,2184
02/17/2015,58344,11847,11992,2184
02/16/2015,58292,11823,11982,2189
02/15/2015,58210,11771,11970,2181
02/14/2015,58089,11674,11967,2176
02/13/2015,58230,11773,11973,2174
02/12/2015,58267,11809,11972,2169
02/11/2015,58288,11775,11991,2174
02/10/2015,58329,11771,12001,2166
02/08/2015,58429,11736,12045,2173
02/07/2015,58262,11618,12032,2167
02/06/2015,58346,11678,12036,2176
02/05/2015,58350,11703,12034,2171
02/03/2015,58485,11691,12082,2167
02/02/2015,58587,11721,12088,2187
02/01/2015,58479,11654,12088,2172
01/31/2015,58413,11613,12084,2163
01/30/2015,58506,11599,12114,2169
01/29/2015,58614,11713,12118,2162
01/28/2015,58723,11727,12138,2173
01/27/2015,58732,11727,12151,2169
01/26/2015,58602,11715,12120,2162
01/25/2015,58627,11667,12141,2172
01/24/2015,58472,11596,12122,2166
01/23/2015,58545,11583,12141,2165
01/22/2015,58655,11666,12143,2168
01/21/2015,58645,11638,12141,2169
01/20/2015,58714,11629,12163,2171
01/19/2015,58691,11581,12179,2168
01/18/2015,58644,11530,12179,2167
01/17/2015,58520,11481,12151,2166
01/16/2015,58624,11536,12163,2172
01/15/2015,58667,11538,12168,2181
01/14/2015,58640,11548,12167,2174
01/13/2015,58628,11548,12161,2171
01/12/2015,58643,11513,12175,2171
01/11/2015,58583,11489,12166,2170
01/10/2015,58487,11424,12158,2169
01/09/2015,58428,11366,12162,2163
01/08/2015,58551,11473,12173,2153
01/07/2015,58474,11474,12145,2145
01/06/2015,58352,11451,12120,2132
01/05/2015,58369,11405,12135,2132
01/04/2015,58330,11360,12149,2124
01/03/2015,58172,11247,12135,2118
01/02/2015,58180,11236,12148,2116
01/01/2015,58142,11239,12134,2127
12/31/2014,57941,11000,12137,2128
12/30/2014,58310,11318,12146,2123
12/29/2014,58541,11399,12191,2124
12/28/2014,58516,11322,12216,2123
12/27/2014,58504,11256,12229,2127
12/26/2014,58586,11270,12248,2130
12/25/2014,58549,11248,12243,2124
12/24/2014,58499,11198,12245,2122
12/23/2014,58736,11318,12283,2125
12/22/2014,58913,11357,12316,2135
12/21/2014,58944,11366,12333,2136
12/20/2014,58820,11296,12322,2128
12/19/2014,58929,11335,12341,2123
12/18/2014,59050,11393,12353,2124
12/17/2014,59068,11390,12349,2129
12/16/2014,58959,11395,12320,2126
12/15/2014,59032,11392,12345,2137
12/14/2014,59019,11324,12368,2130
12/13/2014,58870,11229,12351,2129
12/12/2014,58915,11244,12350,2145
12/11/2014,58959,11325,12339,2152
12/10/2014,58945,11334,12339,2146
12/09/2014,58939,11349,12332,2149
12/08/2014,58898,11343,12313,2149
12/07/2014,58853,11308,12313,2144
12/06/2014,58700,11248,12284,2145
12/05/2014,58706,11240,12290,2137
12/04/2014,58741,11295,12279,2138
12/03/2014,58652,11302,12252,2141
12/02/2014,58506,11292,12219,2136
12/01/2014,58484,11262,12216,2142
11/30/2014,58555,11266,12243,2140
11/29/2014,58521,11218,12247,2145
11/28/2014,58535,11197,12266,2136
11/27/2014,58457,11140,12254,2144
11/26/2014,58493,11250,12242,2129
11/25/2014,58525,11265,12250,2123
11/24/2014,58504,11252,12248,2124
11/23/2014,58469,11254,12247,2117
11/22/2014,58491,11233,12252,2134
11/21/2014,58532,11256,12241,2133
11/20/2014,58562,11294,12228,2144
11/19/2014,58477,11305,12190,2153
11/18/2014,58354,11277,12166,2134
11/17/2014,58351,11243,12171,2138
11/16/2014,58326,11201,12179,2130
11/15/2014,58258,11147,12172,2127
11/14/2014,58139,11115,12145,2129
11/13/2014,58174,11186,12135,2129
11/12/2014,58143,11138,12135,2140
11/11/2014,58060,11127,12112,2135
11/10/2014,58032,11120,12108,2138
11/09/2014,58054,11109,12126,2139
11/08/2014,57878,11006,12105,2129
11/07/2014,57676,11024,12048,2119
11/06/2014,57648,11045,12051,2111
11/05/2014,57646,11067,12031,2108
11/04/2014,57729,11076,12055,2115
11/03/2014,57665,11075,12027,2107
11/02/2014,57645,11071,12024,2099
11/01/2014,57551,10982,12024,2104
10/31/2014,57530,10932,12031,2105
10/30/2014,57586,11036,12013,2102
10/29/2014,57540,11082,11992,2100
10/28/2014,57480,11086,11966,2104
10/27/2014,57490,11063,11986,2106
10/26/2014,57548,11088,12000,2102
10/25/2014,57343,10968,11969,2098
10/24/2014,57364,10986,11962,2110
10/23/2014,57432,11114,11948,2101
10/22/2014,57390,11114,11933,2109
10/21/2014,57323,11044,11925,2111
10/20/2014,57343,11025,11938,2120
10/19/2014,57328,11009,11943,2120
10/18/2014,57115,10886,11923,2114
10/17/2014,56993,10876,11884,2116
10/16/2014,56992,10958,11861,2113
10/15/2014,57060,10995,11866,2110
10/12/2014,56934,10935,11856,2107
10/11/2014,56749,10865,11821,2101
10/10/2014,56701,10817,11823,2099
10/05/2014,56676,10902,11807,2087
10/04/2014,56329,10763,11747,2081
10/03/2014,56274,10742,11742,2079
09/28/2014,56373,10847,11738,2092
09/27/2014,56190,10755,11710,2088
09/26/2014,56143,10714,11700,2087
09/25/2014,56220,10837,11686,2080
09/24/2014,56285,10902,11675,2091
09/23/2014,56219,10855,11669,2095
09/22/2014,56348,10863,11698,2100
09/21/2014,56288,10849,11688,2099
09/20/2014,56108,10785,11660,2089
09/19/2014,56145,10803,11667,2088
09/18/2014,56112,10798,11654,2091
09/17/2014,56017,10840,11615,2084
09/16/2014,56034,10822,11627,2075
09/15/2014,56014,10790,11626,2073
09/14/2014,56082,10797,11655,2072
09/13/2014,55784,10680,11613,2059
09/12/2014,55768,10682,11599,2052
09/11/2014,55727,10732,11575,2052
09/10/2014,55728,10731,11571,2058
09/09/2014,55552,10767,11521,2054
09/08/2014,55616,10742,11539,2050
09/07/2014,55498,10686,11547,2027
09/06/2014,55342,10614,11517,2023
09/05/2014,55222,10568,11493,2023
09/04/2014,55222,10646,11475,2023
09/03/2014,55050,10607,11439,2031
09/02/2014,55221,10637,11485,2038
09/01/2014,55174,10605,11496,2030
08/31/2014,55029,10545,11477,2025
08/30/2014,54929,10502,11467,2014
08/29/2014,54873,10490,11450,2015
08/28/2014,55036,10636,11452,2013
08/27/2014,55025,10669,11440,2014
08/26/2014,54979,10695,11422,2011
08/25/2014,55076,10667,11459,2023
08/24/2014,55097,10636,11483,2025
08/23/2014,54930,10561,11453,2020
08/22/2014,54944,10560,11461,2017
08/21/2014,54964,10611,11452,2016
08/20/2014,54920,10641,11438,2015
08/19/2014,54889,10639,11431,2004
08/18/2014,54874,10626,11440,2000
08/17/2014,54830,10554,11445,2008
08/16/2014,54617,10463,11415,2000
08/15/2014,54730,10522,11415,2014
08/14/2014,54793,10612,11411,2010
08/13/2014,54801,10631,11416,2000
08/12/2014,54851,10620,11423,1995
08/11/2014,54855,10598,11434,1995
08/10/2014,54945,10540,11494,1984
08/09/2014,54648,10418,11439,1984
08/08/2014,54726,10468,11441,1999
08/07/2014,54737,10544,11417,1997
08/06/2014,54711,10539,11414,2004
08/05/2014,54645,10531,11406,1999
08/04/2014,54765,10494,11447,2002
08/03/2014,54712,10482,11438,1985
08/02/2014,54471,10358,11412,1974
08/01/2014,54467,10319,11423,1969
07/31/2014,54742,10519,11443,1971
07/30/2014,54759,10588,11436,1974
07/29/2014,54763,10600,11444,1967
07/28/2014,54860,10605,11465,1985
07/27/2014,54783,10558,11465,1984
07/26/2014,54554,10459,11431,1982
07/25/2014,54602,10517,11431,1984
07/24/2014,54706,10614,11430,1978
07/23/2014,54605,10624,11395,1976
07/22/2014,54421,10588,11355,1976
07/21/2014,54581,10599,11401,1967
07/20/2014,54602,10569,11414,1968
07/19/2014,54421,10475,11386,1965
07/18/2014,54374,10457,11383,1956
07/17/2014,54427,10537,11376,1954
07/16/2014,54404,10565,11356,1949
07/15/2014,54439,10575,11358,1944
07/14/2014,54417,10537,11365,1949
07/13/2014,54395,10478,11387,1947
07/12/2014,54125,10331,11353,1943
07/11/2014,54145,10379,11350,1934
07/10/2014,54102,10416,11338,1925
07/09/2014,54091,10442,11318,1933
07/08/2014,53968,10451,11277,1924
07/07/2014,53927,10407,11280,1924
07/06/2014,53892,10366,11290,1925
07/05/2014,53717,10237,11277,1930
07/04/2014,53608,10240,11248,1919
07/03/2014,53658,10281,11253,1920
07/02/2014,53635,10342,11230,1910
07/01/2014,53742,10338,11256,1916
06/30/2014,53928,10388,11292,1924
06/29/2014,53986,10394,11312,1927
06/28/2014,53804,10313,11288,1922
06/27/2014,53736,10336,11247,1930
06/22/2014,53894,10418,11288,1923
06/21/2014,53733,10332,11260,1927
06/20/2014,53719,10328,11257,1926
06/19/2014,53835,10425,11260,1926
06/18/2014,53767,10411,11244,1928
06/17/2014,53650,10393,11228,1916
06/16/2014,53754,10417,11250,1920
06/15/2014,53630,10323,11245,1918
06/14/2014,53547,10297,11221,1920
06/13/2014,53586,10317,11223,1925
06/12/2014,53595,10394,11200,1926
06/11/2014,53544,10422,11180,1918
06/10/2014,53481,10422,11164,1913
06/09/2014,53513,10405,11170,1924
06/08/2014,53505,10333,11197,1924
06/07/2014,53336,10233,11175,1923
06/06/2014,53344,10276,11177,1921
06/05/2014,53352,10363,11152,1914
06/04/2014,53320,10348,11144,1913
06/03/2014,53324,10363,11143,1915
06/02/2014,53374,10367,11162,1914
06/01/2014,53383,10392,11169,1906
05/31/2014,53197,10310,11139,1897
05/30/2014,53212,10282,11146,1901
05/29/2014,53310,10434,11129,1896
05/28/2014,53327,10404,11135,1902
05/27/2014,53341,10407,11138,1905
05/26/2014,53265,10333,11154,1892
05/25/2014,53247,10295,11160,1896
05/24/2014,53243,10337,11137,1902
05/23/2014,53330,10357,11147,1912
05/22/2014,53377,10429,11146,1909
05/21/2014,53419,10408,11157,1915
05/20/2014,53339,10413,11123,1917
05/19/2014,53393,10429,11131,1919
05/18/2014,53402,10437,11134,1923
05/17/2014,53198,10319,11113,1918
05/16/2014,53121,10320,11096,1912
05/15/2014,53242,10447,11088,1912
05/14/2014,53195,10482,11067,1914
05/13/2014,53106,10467,11045,1914
05/12/2014,53118,10424,11061,1914
05/11/2014,53030,10329,11072,1912
05/10/2014,52887,10290,11044,1903
05/09/2014,52867,10347,11020,1903
05/08/2014,52919,10412,11009,1902
05/07/2014,52835,10405,10989,1896
05/06/2014,52793,10390,10982,1890
05/05/2014,52839,10382,11001,1895
05/04/2014,52748,10348,10990,1891
05/03/2014,52517,10208,10972,1877
05/02/2014,52536,10211,10970,1883
05/01/2014,52685,10378,10967,1878
04/30/2014,52807,10579,10940,1870
04/29/2014,52807,10610,10922,1873
04/28/2014,52804,10533,10949,1876
04/27/2014,52740,10488,10941,1872
04/26/2014,52583,10419,10912,1866
04/25/2014,52510,10387,10902,1862
04/24/2014,52602,10507,10893,1857
04/23/2014,52615,10514,10893,1873
04/22/2014,52516,10492,10866,1875
04/21/2014,52613,10485,10893,1887
04/20/2014,52591,10408,10911,1889
04/19/2014,52428,10311,10890,1887
04/18/2014,52430,10386,10866,1886
04/17/2014,52566,10446,10887,1889
04/16/2014,52585,10443,10885,1892
04/15/2014,52487,10434,10853,1888
04/14/2014,52438,10324,10869,1896
04/13/2014,52462,10275,10897,1893
04/12/2014,52254,10202,10866,1889
04/11/2014,52271,10241,10865,1893
04/10/2014,52302,10309,10848,1894
04/09/2014,52319,10340,10835,1894
04/08/2014,52309,10308,10842,1890
04/07/2014,53540,10334,11065,1895
04/06/2014,53511,10286,11080,1886
04/05/2014,53276,10146,11057,1880
04/04/2014,53288,10157,11048,1886
04/03/2014,53274,10209,11035,1882
04/02/2014,53345,10285,11031,1880
04/01/2014,52169,10268,10804,1880
03/31/2014,52420,10374,10839,1875
03/30/2014,52495,10381,10863,1873
03/29/2014,52328,10284,10838,1873
03/28/2014,52286,10260,10831,1877
03/27/2014,52425,10424,10822,1876
03/26/2014,52422,10441,10815,1878
03/25/2014,52367,10453,10793,1876
